#TYPE System.Management.Automation.PSCustomObject
"FeatureName","GroupName","Total Licenses","Free Licenses"
"al4allegro","Volakis","15","15"
"al4allegro","Sertel","6","6"
"al4allegro","Chen","8","8"
"al4allegro","Reano","3","3"
"al4allegro","Gupta","2","2"
"al4allegro","Burkholder","1","1"
"al4allegro","Li","1","1"
"al4allegro","ECE","2","2"
"al4allegro","Restricted","12","12"
"al4ansoft","Volakis","15","15"
"al4ansoft","Sertel","6","6"
"al4ansoft","Chen","8","8"
"al4ansoft","Reano","3","3"
"al4ansoft","Gupta","2","2"
"al4ansoft","Burkholder","1","1"
"al4ansoft","Li","1","1"
"al4ansoft","ECE","2","2"
"al4ansoft","Restricted","12","12"
"al4apd","Volakis","15","15"
"al4apd","Sertel","6","6"
"al4apd","Chen","8","8"
"al4apd","Reano","3","3"
"al4apd","Gupta","2","2"
"al4apd","Burkholder","1","1"
"al4apd","Li","1","1"
"al4apd","ECE","2","2"
"al4apd","Restricted","12","12"
"al4boardstation","Volakis","15","15"
"al4boardstation","Sertel","6","6"
"al4boardstation","Chen","8","8"
"al4boardstation","Reano","3","3"
"al4boardstation","Gupta","2","2"
"al4boardstation","Burkholder","1","1"
"al4boardstation","Li","1","1"
"al4boardstation","ECE","2","2"
"al4boardstation","Restricted","12","12"
"al4encore","Volakis","15","15"
"al4encore","Sertel","6","6"
"al4encore","Chen","8","8"
"al4encore","Reano","3","3"
"al4encore","Gupta","2","2"
"al4encore","Burkholder","1","1"
"al4encore","Li","1","1"
"al4encore","ECE","2","2"
"al4encore","Restricted","12","12"
"al4expedition","Volakis","15","15"
"al4expedition","Sertel","6","6"
"al4expedition","Chen","8","8"
"al4expedition","Reano","3","3"
"al4expedition","Gupta","2","2"
"al4expedition","Burkholder","1","1"
"al4expedition","Li","1","1"
"al4expedition","ECE","2","2"
"al4expedition","Restricted","12","12"
"al4generic","Volakis","15","15"
"al4generic","Sertel","6","6"
"al4generic","Chen","8","8"
"al4generic","Reano","3","3"
"al4generic","Gupta","2","2"
"al4generic","Burkholder","1","1"
"al4generic","Li","1","1"
"al4generic","ECE","2","2"
"al4generic","Restricted","12","12"
"al4powerpcb","Volakis","15","15"
"al4powerpcb","Sertel","6","6"
"al4powerpcb","Chen","8","8"
"al4powerpcb","Reano","3","3"
"al4powerpcb","Gupta","2","2"
"al4powerpcb","Burkholder","1","1"
"al4powerpcb","Li","1","1"
"al4powerpcb","ECE","2","2"
"al4powerpcb","Restricted","12","12"
"al4virtuoso","Volakis","15","15"
"al4virtuoso","Sertel","6","6"
"al4virtuoso","Chen","8","8"
"al4virtuoso","Reano","3","3"
"al4virtuoso","Gupta","2","2"
"al4virtuoso","Burkholder","1","1"
"al4virtuoso","Li","1","1"
"al4virtuoso","ECE","2","2"
"al4virtuoso","Restricted","12","12"
"al4zuken","Volakis","15","15"
"al4zuken","Sertel","6","6"
"al4zuken","Chen","8","8"
"al4zuken","Reano","3","3"
"al4zuken","Gupta","2","2"
"al4zuken","Burkholder","1","1"
"al4zuken","Li","1","1"
"al4zuken","ECE","2","2"
"al4zuken","Restricted","12","12"
"alinks_gui","Volakis","15","15"
"alinks_gui","Sertel","6","6"
"alinks_gui","Chen","8","8"
"alinks_gui","Reano","3","3"
"alinks_gui","Gupta","2","2"
"alinks_gui","Burkholder","1","1"
"alinks_gui","Li","1","1"
"alinks_gui","ECE","2","2"
"alinks_gui","Restricted","12","12"
"designer_desktop","Volakis","15","15"
"designer_desktop","Sertel","6","6"
"designer_desktop","Chen","8","8"
"designer_desktop","Reano","3","3"
"designer_desktop","Gupta","2","2"
"designer_desktop","Burkholder","1","1"
"designer_desktop","Li","1","1"
"designer_desktop","ECE","2","2"
"designer_desktop","Restricted","12","12"
"ensemble_25_sim","Volakis","15","15"
"ensemble_25_sim","Sertel","6","6"
"ensemble_25_sim","Chen","8","8"
"ensemble_25_sim","Reano","3","3"
"ensemble_25_sim","Gupta","2","2"
"ensemble_25_sim","Burkholder","1","1"
"ensemble_25_sim","Li","1","1"
"ensemble_25_sim","ECE","2","2"
"ensemble_25_sim","Restricted","12","12"
"ensemble_3_sim","Volakis","15","15"
"ensemble_3_sim","Sertel","6","6"
"ensemble_3_sim","Chen","8","8"
"ensemble_3_sim","Reano","3","3"
"ensemble_3_sim","Gupta","2","2"
"ensemble_3_sim","Burkholder","1","1"
"ensemble_3_sim","Li","1","1"
"ensemble_3_sim","ECE","2","2"
"ensemble_3_sim","Restricted","12","12"
"ensemble_gui","Volakis","15","15"
"ensemble_gui","Sertel","6","6"
"ensemble_gui","Chen","8","8"
"ensemble_gui","Reano","3","3"
"ensemble_gui","Gupta","2","2"
"ensemble_gui","Burkholder","1","1"
"ensemble_gui","Li","1","1"
"ensemble_gui","ECE","2","2"
"ensemble_gui","Restricted","12","12"
"fwspice_export","Volakis","15","15"
"fwspice_export","Sertel","6","6"
"fwspice_export","Chen","8","8"
"fwspice_export","Reano","3","3"
"fwspice_export","Gupta","2","2"
"fwspice_export","Burkholder","1","1"
"fwspice_export","Li","1","1"
"fwspice_export","ECE","2","2"
"fwspice_export","Restricted","12","12"
"hfss_desktop","Volakis","15","9"
"hfss_desktop","Sertel","6","4"
"hfss_desktop","Chen","8","2"
"hfss_desktop","Reano","3","3"
"hfss_desktop","Gupta","2","2"
"hfss_desktop","Burkholder","1","1"
"hfss_desktop","Li","1","1"
"hfss_desktop","ECE","2","2"
"hfss_desktop","Restricted","12","12"
"hfss_gui","Volakis","15","9"
"hfss_gui","Sertel","6","4"
"hfss_gui","Chen","8","2"
"hfss_gui","Reano","3","3"
"hfss_gui","Gupta","2","2"
"hfss_gui","Burkholder","1","1"
"hfss_gui","Li","1","1"
"hfss_gui","ECE","2","2"
"hfss_gui","Restricted","12","12"
"hfss_solve","Volakis","15","12"
"hfss_solve","Sertel","6","3"
"hfss_solve","Chen","8","8"
"hfss_solve","Reano","3","3"
"hfss_solve","Gupta","2","2"
"hfss_solve","Burkholder","1","1"
"hfss_solve","Li","1","1"
"hfss_solve","ECE","2","2"
"hfss_solve","Restricted","12","12"
"nexxim","Volakis","0","0"
"nexxim","Sertel","0","0"
"nexxim","Chen","0","0"
"nexxim","Reano","0","0"
"nexxim","Gupta","0","0"
"nexxim","Burkholder","0","0"
"nexxim","Li","0","0"
"nexxim","ECE","0","0"
"nexxim","Restricted","0","0"
"nexxim_gui","Volakis","15","15"
"nexxim_gui","Sertel","6","6"
"nexxim_gui","Chen","8","8"
"nexxim_gui","Reano","3","3"
"nexxim_gui","Gupta","2","2"
"nexxim_gui","Burkholder","1","1"
"nexxim_gui","Li","1","1"
"nexxim_gui","ECE","2","2"
"nexxim_gui","Restricted","12","12"
"nexxim_netlist","Volakis","15","15"
"nexxim_netlist","Sertel","6","6"
"nexxim_netlist","Chen","8","8"
"nexxim_netlist","Reano","3","3"
"nexxim_netlist","Gupta","2","2"
"nexxim_netlist","Burkholder","1","1"
"nexxim_netlist","Li","1","1"
"nexxim_netlist","ECE","2","2"
"nexxim_netlist","Restricted","12","12"
"optimetrics","Volakis","15","12"
"optimetrics","Sertel","6","3"
"optimetrics","Chen","8","8"
"optimetrics","Reano","3","3"
"optimetrics","Gupta","2","2"
"optimetrics","Burkholder","1","1"
"optimetrics","Li","1","1"
"optimetrics","ECE","2","2"
"optimetrics","Restricted","12","12"
"q3d_desktop","Volakis","0","0"
"q3d_desktop","Sertel","0","0"
"q3d_desktop","Chen","0","0"
"q3d_desktop","Reano","0","0"
"q3d_desktop","Gupta","0","0"
"q3d_desktop","Burkholder","0","0"
"q3d_desktop","Li","0","0"
"q3d_desktop","ECE","0","0"
"q3d_desktop","Restricted","0","0"
"serenade_gui","Volakis","15","15"
"serenade_gui","Sertel","6","6"
"serenade_gui","Chen","8","8"
"serenade_gui","Reano","3","3"
"serenade_gui","Gupta","2","2"
"serenade_gui","Burkholder","1","1"
"serenade_gui","Li","1","1"
"serenade_gui","ECE","2","2"
"serenade_gui","Restricted","12","12"
"si2d_gui","Volakis","0","0"
"si2d_gui","Sertel","0","0"
"si2d_gui","Chen","0","0"
"si2d_gui","Reano","0","0"
"si2d_gui","Gupta","0","0"
"si2d_gui","Burkholder","0","0"
"si2d_gui","Li","0","0"
"si2d_gui","ECE","0","0"
"si2d_gui","Restricted","0","0"
"si2d_solve","Volakis","0","0"
"si2d_solve","Sertel","0","0"
"si2d_solve","Chen","0","0"
"si2d_solve","Reano","0","0"
"si2d_solve","Gupta","0","0"
"si2d_solve","Burkholder","0","0"
"si2d_solve","Li","0","0"
"si2d_solve","ECE","0","0"
"si2d_solve","Restricted","0","0"
"si3d_gui","Volakis","0","0"
"si3d_gui","Sertel","0","0"
"si3d_gui","Chen","0","0"
"si3d_gui","Reano","0","0"
"si3d_gui","Gupta","0","0"
"si3d_gui","Burkholder","0","0"
"si3d_gui","Li","0","0"
"si3d_gui","ECE","0","0"
"si3d_gui","Restricted","0","0"
"si3d_solve","Volakis","0","0"
"si3d_solve","Sertel","0","0"
"si3d_solve","Chen","0","0"
"si3d_solve","Reano","0","0"
"si3d_solve","Gupta","0","0"
"si3d_solve","Burkholder","0","0"
"si3d_solve","Li","0","0"
"si3d_solve","ECE","0","0"
"si3d_solve","Restricted","0","0"
"siwave_gui","Volakis","0","0"
"siwave_gui","Sertel","0","0"
"siwave_gui","Chen","0","0"
"siwave_gui","Reano","0","0"
"siwave_gui","Gupta","0","0"
"siwave_gui","Burkholder","0","0"
"siwave_gui","Li","0","0"
"siwave_gui","ECE","0","0"
"siwave_gui","Restricted","0","0"
"siwave_reporter","Volakis","0","0"
"siwave_reporter","Sertel","0","0"
"siwave_reporter","Chen","0","0"
"siwave_reporter","Reano","0","0"
"siwave_reporter","Gupta","0","0"
"siwave_reporter","Burkholder","0","0"
"siwave_reporter","Li","0","0"
"siwave_reporter","ECE","0","0"
"siwave_reporter","Restricted","0","0"
"siwave_solver","Volakis","0","0"
"siwave_solver","Sertel","0","0"
"siwave_solver","Chen","0","0"
"siwave_solver","Reano","0","0"
"siwave_solver","Gupta","0","0"
"siwave_solver","Burkholder","0","0"
"siwave_solver","Li","0","0"
"siwave_solver","ECE","0","0"
"siwave_solver","Restricted","0","0"
"symphony_adv_sim","Volakis","15","15"
"symphony_adv_sim","Sertel","6","6"
"symphony_adv_sim","Chen","8","8"
"symphony_adv_sim","Reano","3","3"
"symphony_adv_sim","Gupta","2","2"
"symphony_adv_sim","Burkholder","1","1"
"symphony_adv_sim","Li","1","1"
"symphony_adv_sim","ECE","2","2"
"symphony_adv_sim","Restricted","12","12"
"symphony_dt_sim","Volakis","15","15"
"symphony_dt_sim","Sertel","6","6"
"symphony_dt_sim","Chen","8","8"
"symphony_dt_sim","Reano","3","3"
"symphony_dt_sim","Gupta","2","2"
"symphony_dt_sim","Burkholder","1","1"
